text,label
"OFFICIAL TRANSCRIPT OF RECORDS: official transcript of records of the student, issued on request by the registrar.",TOR_OFFICIAL
"This is the official transcript of records of the student, issued on request; contains complete courses and grades.",TOR_OFFICIAL
"Official transcript of records of the student, issued on request, showing academic history and grading.",TOR_OFFICIAL
"OFFICIAL TRANSCRIPT OF RECORDS: the student's certified academic record, issued on request by the office of the registrar.",TOR_OFFICIAL
"Official transcript of records of the student, issued on request; reflects subjects taken and credits earned.",TOR_OFFICIAL
"This document is the official transcript of records of the student, issued on request for verification purposes.",TOR_OFFICIAL
"Official transcript of records of the student, issued on request, including cumulative standing and remarks.",TOR_OFFICIAL
"OFFICIAL TRANSCRIPT OF RECORDS: complete and certified record of coursework for the student, issued on request.",TOR_OFFICIAL
"Certified official transcript of records of the student, issued on request for academic evaluation.",TOR_OFFICIAL
"Official transcript of records of the student, issued on request; prepared and authenticated by the registrar.",TOR_OFFICIAL
"Official Transcript of Records issued by the registrar, presenting the student’s complete coursework and grades",TOR_OFFICIAL
"This is the official transcript of records that certifies the student’s academic subjects, grades, and credits earned",TOR_OFFICIAL
"Transcript of Records: official document issued on request, containing academic performance and subject history",TOR_OFFICIAL
"Certified transcript of records from the registrar, listing all courses, grades, and academic progress",TOR_OFFICIAL
"Official transcript of records provided for academic verification, including comprehensive grade details",TOR_OFFICIAL
"This document serves as the official transcript of records, issued for institutional or evaluation purposes",TOR_OFFICIAL
"Transcript of Records: official certification of all subjects completed and academic results, issued on request",TOR_OFFICIAL
"Registrar-issued official transcript of records detailing courses taken, credit units, and academic results",TOR_OFFICIAL
"Official transcript of records confirming the student’s academic standing, grades, and completion of coursework",TOR_OFFICIAL
This is an authenticated transcript of records issued officially by the registrar for academic or employment use,TOR_OFFICIAL
"Official transcript of records issued on request, listing all academic courses and earned credits.",TOR_OFFICIAL
"Certified transcript of records prepared by the registrar, detailing academic performance and remarks.",TOR_OFFICIAL
"Transcript of records issued officially, showing complete subject history and grades obtained.",TOR_OFFICIAL
"This is the official transcript of records issued upon request, reflecting academic standing.",TOR_OFFICIAL
"Registrar-issued transcript of records containing certified grades, credits, and coursework.",TOR_OFFICIAL
Transcript of records officially prepared for academic verification and institutional requirements.,TOR_OFFICIAL
Official document of transcript of records showing final grades and completed curriculum.,TOR_OFFICIAL
Certified official transcript of records issued to verify academic progress and performance.,TOR_OFFICIAL
"Official transcript of records for the student, documenting cumulative academic achievement.",TOR_OFFICIAL
"Transcript of records certified by the registrar, outlining all courses and academic outcomes.",TOR_OFFICIAL
Officially issued transcript of records used for evaluation and academic credentialing.,TOR_OFFICIAL
"Transcript of records prepared for institutional purposes, including subjects and earned units.",TOR_OFFICIAL
Certified transcript of records documenting completed academic requirements and grades.,TOR_OFFICIAL
Registrar-authenticated transcript of records for reference in academic or employment purposes.,TOR_OFFICIAL
"Official transcript of records issued on request, confirming academic performance details.",TOR_OFFICIAL
Transcript of records officially documenting all completed courses and academic assessments.,TOR_OFFICIAL
"Certified official transcript of records listing coursework, subject units, and grades.",TOR_OFFICIAL
"Transcript of records provided for official use, showing grades and overall academic record.",TOR_OFFICIAL
Officially validated transcript of records prepared by the registrar for academic purposes.,TOR_OFFICIAL
"Transcript of records certified as official, reflecting comprehensive academic performance.",TOR_OFFICIAL
"Official transcript of records issued upon request, presenting detailed coursework and results.",TOR_OFFICIAL
Certified transcript of records documenting the complete academic program of the student.,TOR_OFFICIAL
"Transcript of records authenticated by the registrar, listing all earned credits and grades.",TOR_OFFICIAL
Officially issued transcript of records prepared for academic validation and certification.,TOR_OFFICIAL
"Transcript of records showing official documentation of courses, units, and academic status.",TOR_OFFICIAL
Certified document of transcript of records verifying grades and completed requirements.,TOR_OFFICIAL
"Transcript of records released by the registrar, presenting the official academic history.",TOR_OFFICIAL
Official transcript of records for academic or professional credential verification.,TOR_OFFICIAL
Transcript of records provided as a certified record of coursework and scholastic standing.,TOR_OFFICIAL
Registrar-issued transcript of records confirming the student’s academic background.,TOR_OFFICIAL
"Transcript of records certified official, reflecting courses taken and performance results.",TOR_OFFICIAL
Official transcript of records issued for academic evaluation and transfer purposes.,TOR_OFFICIAL
"Document of transcript of records, officially listing units earned and grade equivalents.",TOR_OFFICIAL
Certified transcript of records authenticating academic results for institutional use.,TOR_OFFICIAL
Transcript of records authenticated by registrar for official reference and verification.,TOR_OFFICIAL
Official transcript of records presenting comprehensive grade reports and subject lists.,TOR_OFFICIAL
Transcript of records officially released for higher study or employment applications.,TOR_OFFICIAL
Certified document of transcript of records confirming academic progress and completion.,TOR_OFFICIAL
Official transcript of records prepared for evaluation of subjects and earned credits.,TOR_OFFICIAL
"Transcript of records certified by the registrar, detailing the academic coursework.",TOR_OFFICIAL
"Official transcript of records containing subject listings, final marks, and remarks.",TOR_OFFICIAL
Certified transcript of records used for institutional recognition of achievements.,TOR_OFFICIAL
Transcript of records issued officially to document final academic accomplishments.,TOR_OFFICIAL
Official registrar-issued transcript of records summarizing scholastic performance.,TOR_OFFICIAL
Transcript of records authenticated for academic clearance and certification.,TOR_OFFICIAL
Certified transcript of records containing official listing of courses and grades.,TOR_OFFICIAL
Official transcript of records provided as a record of academic requirements met.,TOR_OFFICIAL
Transcript of records issued by registrar with verified list of grades and credits.,TOR_OFFICIAL
Official document of transcript of records confirming completion of academic load.,TOR_OFFICIAL
"Transcript of records certified official, issued on request for academic validation.",TOR_OFFICIAL
